 uniqueID,fam_id,fam_id 2,Income-to-needs,sub_id,Sex,Inequality Grp,Income Grp,Final Grp,Household Income,Valence Pre,Arousal Pre,Valence Post,Arousal Post,Age,CT Mean Income,Gini CT,Voice Rating,Formant Position,Formant Dispersion,Fundamental Frequency,N1,N2,N3,N4,N5,N6,Neuroticism,E1,E2,E3,E4,E5,E6,Extroversion,O1,O2,O3,O4,O5,O6,Openness,A1,A2,A3,A4,A5,A6,Agreeableness,C1,C2,C3,C4,C5,C6,Conscientiousness
FAM3285_459640,FAM3285,FAM3285,1.460600307,459640,1,high,low,LI-HII,40000,4,2,4,2,226,71612,0.451502145,0.027777778,-0.061463068,1374.442476,240.4797747,27,21,21,15,28,26,138,28,25,17,21,23,26,140,30,25,24,22,21,25,147,24,26,27,24,12,28,141,17,8,14,19,12,6,76
FAM8921_460270,FAM8921,FAM8921,1.460600307,460270,0,high,low,LI-HII,40000,3,1,2,2,168,42971,0.460042513,,,,,11,17,10,13,16,13,80,21,18,17,20,15,18,109,20,13,18,15,13,16,95,14,18,22,18,16,18,106,19,15,17,17,15,12,95
FAM8921_321543,FAM8921,FAM8921,1.460600307,321543,1,high,low,LI-HII,40000,4,2,4,2,182,42971,0.460042513,,,,,19,9,21,18,19,13,99,27,25,21,16,26,24,139,28,23,28,19,20,19,137,21,15,21,15,19,24,115,16,15,20,13,10,16,90
FAM2766_538204,FAM2766,FAM2766,1.503714174,538204,0,high,low,LI-HII,50000,3,3,2,2,180,52710,0.431556638,,-1.53657197,1267.041469,153.6129459,15,17,12,15,15,16,90,18,15,17,19,21,21,111,17,17,16,13,16,16,95,20,13,16,12,17,18,96,19,22,20,17,19,16,113
FAM2766_413168,FAM2766,FAM2766,1.503714174,413168,1,high,low,LI-HII,50000,4,2,5,2,198,52710,0.431556638,,,,,20,16,21,16,24,17,114,25,25,9,17,26,21,123,28,28,25,20,23,20,144,15,24,26,28,17,27,137,19,19,23,20,20,13,114
FAM6760_355266,FAM6760,FAM6760,1.503714174,355266,0,high,low,LI-HII,50000,3,2,2,3,212,52710,0.431556638,,,,,11,12,15,17,20,15,90,15,12,18,16,19,17,97,18,14,15,16,15,16,94,15,21,15,17,20,16,104,14,11,18,15,14,11,83
FAM6760_411501,FAM6760,FAM6760,1.503714174,411501,1,high,low,LI-HII,50000,3,2,3,3,181,52710,0.431556638,,-0.404518615,1380.515434,253.2206803,16,24,18,16,17,13,104,17,17,12,16,17,18,97,21,18,21,18,17,19,114,16,17,18,13,26,17,107,15,13,17,17,20,10,92
FAM1556_333129,FAM1556,FAM1556,1.503714174,333129,1,high,low,LI-HII,50000,5,1,5,1,179,63320,0.432060109,,-0.159131179,1341.900234,218.6025986,18,16,16,18,23,16,107,29,26,22,21,31,28,157,23,23,25,20,22,24,137,21,22,30,20,16,23,132,23,21,26,22,25,25,142
FAM1556_415901,FAM1556,FAM1556,1.503714174,415901,0,high,low,LI-HII,50000,4,3,4,2,151,63320,0.432060109,,,,,18,17,10,25,22,21,113,27,24,20,26,29,26,152,18,23,26,17,28,17,129,21,27,29,17,22,28,144,29,23,31,23,32,27,165
FAM9481_448478,FAM9481,FAM9481,1.503714174,448478,1,high,low,LI-HII,50000,5,1,5,1,160,63320,0.432060109,,-0.100639301,1353.799673,255.759032,14,11,12,17,13,11,78,26,25,14,20,22,19,126,20,19,21,13,20,18,111,22,19,28,22,17,16,124,18,24,23,27,21,20,133
